test_error,train_error,test_error_std,trick,train_error_std,lambda,sample_complexity,task,loss
0.036285798641865964,0.020015766554399555,0.003143405110070675,False,0.0026422004199173556,0.01,0.1,classification,logistic
0.02705672935531306,0.015753677069203186,0.0019668278230366722,False,0.0017449607838851142,0.01,0.3666666666666667,classification,logistic
0.023840897999023912,0.015478891196927868,0.0012629797568328763,False,0.0014274570006502778,0.01,0.6333333333333333,classification,logistic
0.023125053569898003,0.014898706140888179,0.0013025943424368133,False,0.0019459985983069983,0.01,0.9,classification,logistic
0.021578041489265332,0.01549170312897678,0.0010102075810816662,False,0.001885172570445942,0.01,1.1666666666666667,classification,logistic
0.02058202074529389,0.01511005654729784,0.0011258356856017622,False,0.0010759231236020705,0.01,1.4333333333333333,classification,logistic
0.019264179867143585,0.01563252100023226,0.0017453002881545165,False,0.0011829071056932896,0.01,1.7000000000000002,classification,logistic
0.01903253985586372,0.01496384638380142,0.0009755016677435656,False,0.0006627701079307681,0.01,1.9666666666666668,classification,logistic
0.01916539678818427,0.015366732107607275,0.0013347081691468562,False,0.0011719645163697826,0.01,2.2333333333333334,classification,logistic
0.017980513728963685,0.015667595057663596,0.0015125472007110291,False,0.0014911439273997843,0.01,2.5,classification,logistic
0.0370456359283175,0.019460234669129706,0.00450182765423367,True,0.0028793846436471005,0.01,0.1,classification,logistic
0.02526300515127331,0.015113140825972062,0.0011903138959480997,True,0.0015656654663586775,0.01,0.3666666666666667,classification,logistic
0.021954581731118045,0.015580825371660645,0.0010210163640573043,True,0.00112240579498395,0.01,0.6333333333333333,classification,logistic
0.018675179569034316,0.015357334053456151,0.00045216386710826074,True,0.0013547500824974085,0.01,0.9,classification,logistic
0.017557861133280124,0.014937496475841522,0.0010224589148924218,True,0.0015897325596831236,0.01,1.1666666666666667,classification,logistic
0.015214394544003482,0.01499702158127296,0.0004921328558981829,True,0.0016733259565867963,0.01,1.4333333333333333,classification,logistic
0.014242182398606978,0.015538417682561872,0.0010766505393762346,True,0.0011743245758768525,0.01,1.7000000000000002,classification,logistic
0.013240948995138937,0.015247068438216587,0.0006218020419666497,True,0.0008678249072102,0.01,1.9666666666666668,classification,logistic
0.01203656678517014,0.015534815345288716,0.0009248462994759602,True,0.0007966031819377075,0.01,2.2333333333333334,classification,logistic
0.01097003555104114,0.015909466172025953,0.0006904376262567115,True,0.0011318424695072188,0.01,2.5,classification,logistic
